ROW,COL,2000,2050,2100
1,19,11.15,42.1,96.44
1,20,12.5,47.2,108.13
2,12,8.04,30.34,69.52
2,13,8.72,32.94,75.46
2,19,12.25,46.26,105.98
2,20,14.11,53.26,122.02
3,12,9.48,35.78,81.98
3,13,10.68,40.31,92.35
3,19,12.27,46.31,106.1
3,20,12.63,47.68,109.23
4,10,10.75,40.58,92.98
4,11,9.86,37.23,85.29
4,12,11.19,42.24,96.78
4,13,13.3,50.19,115
4,14,16.09,60.74,139.15
4,15,11.71,44.23,101.32
4,16,13.35,50.38,115.43
4,17,10.72,40.46,92.7
4,18,10.47,39.52,90.55
4,19,11.4,43.02,98.56
4,20,12.2,46.07,105.54
5,7,12.48,47.12,107.95
5,8,12.45,47.01,107.7
5,9,10.06,37.99,87.04
5,10,10.37,39.13,89.65
5,11,15.89,60.01,137.48
5,12,10.46,39.5,90.49
5,13,14.2,53.61,122.83
5,14,11.31,42.72,97.87
5,15,10.18,38.45,88.08
5,16,10.75,40.6,93.01
5,17,11.2,42.3,96.91
5,18,10.42,39.35,90.16
5,19,10.96,41.39,94.82
5,20,11.6,43.81,100.37
6,4,16.36,61.75,141.48
6,5,16.41,61.94,141.91
6,6,12.67,47.85,109.62
6,7,14.06,53.07,121.59
6,8,11.95,45.12,103.37
6,9,9.88,37.28,85.41
6,10,11.06,41.75,95.65
6,11,11.55,43.62,99.94
6,12,10.6,40.01,91.67
6,13,15.17,57.26,131.18
6,14,10.72,40.49,92.76
6,15,9.88,37.29,85.42
6,16,9.87,37.25,85.35
6,17,12.14,45.82,104.98
6,18,13.67,51.6,118.22
6,19,10.72,40.49,92.76
6,20,11.11,41.94,96.08
6,21,10.27,38.77,88.82
7,3,12.51,47.22,108.18
7,4,13.97,52.75,120.85
7,5,16.31,61.59,141.1
7,6,12.5,47.18,108.1
7,7,10.56,39.88,91.36
7,8,10.71,40.42,92.6
7,9,12.04,45.46,104.15
7,10,11.16,42.14,96.56
7,11,11.12,42,96.22
7,12,10.43,39.38,90.22
7,13,11.35,42.86,98.19
7,14,10.37,39.16,89.72
7,15,10.49,39.61,90.75
7,16,12,45.31,103.81
7,17,12.18,46,105.38
7,18,11.32,42.73,97.91
7,19,10.67,40.29,92.31
7,20,12.73,48.06,110.11
7,21,11.72,44.26,101.4
7,22,8.92,33.69,77.17
8,3,28.71,108.37,248.28
8,4,11.99,45.28,103.74
8,5,11.14,42.06,96.37
8,6,12.71,47.98,109.93
8,7,9.89,37.35,85.56
8,8,10.65,40.2,92.09
8,9,10.84,40.91,93.73
8,10,9.31,35.16,80.55
8,11,10.22,38.57,88.36
8,12,10.85,40.97,93.85
8,13,11.19,42.26,96.81
8,14,11.84,44.69,102.4
8,15,9.3,35.09,80.4
8,16,9.34,35.27,80.79
8,17,12.07,45.55,104.37
8,18,10.11,38.15,87.41
8,19,9.93,37.51,85.93
8,20,11.5,43.42,99.47
8,21,12.37,46.71,107.01
8,22,11.57,43.68,100.07
9,2,10.99,41.49,95.04
9,3,15.68,59.18,135.58
9,4,14.1,53.23,121.96
9,5,12.89,48.68,111.53
9,6,12.21,46.08,105.58
9,7,9.07,34.26,78.48
9,8,10.74,40.56,92.92
9,9,11.38,42.96,98.41
9,10,15.69,59.23,135.69
9,11,11.82,44.61,102.2
9,12,9.56,36.08,82.67
9,13,9.84,37.14,85.08
9,14,12.94,48.84,111.89
9,15,10,37.76,86.52
9,16,12.73,48.08,110.15
9,17,10.93,41.28,94.56
9,18,13.06,49.31,112.98
9,19,10.68,40.31,92.36
9,20,10.85,40.95,93.83
9,21,17.08,64.47,147.71
9,22,13.15,49.64,113.72
10,2,10.98,41.47,95.01
10,3,11.47,43.3,99.21
10,4,13.31,50.26,115.15
10,5,14.7,55.48,127.11
10,6,12.67,47.84,109.61
10,7,13.17,49.73,113.94
10,8,11.72,44.23,101.34
10,9,12.24,46.19,105.83
10,10,15.14,57.14,130.92
10,11,11.15,42.09,96.42
10,12,9.92,37.44,85.79
10,13,11.58,43.73,100.19
10,14,12.22,46.11,105.65
10,15,11.78,44.49,101.93
10,16,12.27,46.31,106.11
10,17,13.73,51.83,118.74
10,18,11.86,44.78,102.59
10,19,12.89,48.67,111.51
10,20,12.65,47.77,109.43
10,21,11.89,44.89,102.84
10,22,16.86,63.65,145.83
10,23,16.97,64.05,146.74
10,24,13.58,51.27,117.45
11,2,10.04,37.9,86.83
11,3,10.82,40.85,93.59
11,4,12.41,46.86,107.36
11,5,11.7,44.18,101.22
11,6,11.44,43.18,98.93
11,7,9.72,36.68,84.05
11,8,11.5,43.43,99.49
11,9,11.79,44.5,101.95
11,10,10.98,41.45,94.95
11,11,8.98,33.89,77.63
11,12,8.99,33.93,77.74
11,13,11.34,42.82,98.11
11,14,11.27,42.54,97.45
11,15,12.49,47.15,108.02
11,16,12.26,46.3,106.08
11,17,15.8,59.65,136.66
11,18,12.42,46.9,107.46
11,19,14.94,56.41,129.23
11,20,11.76,44.41,101.74
11,21,12.77,48.22,110.47
11,22,12.77,48.21,110.45
11,23,16.28,61.46,140.81
11,24,18.36,69.33,158.84
12,2,10.81,40.82,93.53
12,3,13.13,49.55,113.52
12,4,11.96,45.17,103.48
12,5,10.46,39.5,90.5
12,6,11.13,42.02,96.27
12,7,9.35,35.3,80.86
12,8,11.34,42.8,98.05
12,9,10.54,39.78,91.13
12,10,11.91,44.97,103.04
12,11,10.75,40.59,93
12,12,10.16,38.36,87.88
12,13,11.51,43.44,99.52
12,14,11.64,43.96,100.71
12,15,15.15,57.21,131.08
12,16,10.96,41.39,94.83
12,17,11.89,44.9,102.86
12,18,10.86,41,93.94
12,19,10.41,39.31,90.05
12,21,11.05,41.73,95.6
12,22,11.38,42.98,98.46
12,23,12.75,48.14,110.29
12,24,12.03,45.43,104.09
12,25,10.71,40.43,92.62
13,2,10.46,39.5,90.5
13,3,16.37,61.8,141.58
13,4,11.99,45.28,103.74
13,5,11.32,42.74,97.93
13,6,10.24,38.65,88.54
13,7,11.15,42.1,96.45
13,8,11.64,43.96,100.72
13,9,12.16,45.91,105.19
13,10,10.07,38.01,87.08
13,11,13.31,50.26,115.16
13,12,12.15,45.88,105.12
13,13,12.03,45.41,104.03
13,14,10.87,41.05,94.04
13,15,10.52,39.71,90.97
13,16,9.78,36.91,84.57
13,17,10.69,40.37,92.48
13,18,10.11,38.16,87.42
13,19,10.1,38.14,87.38
13,24,10.38,39.19,89.8
13,25,10.75,40.58,92.96
14,2,10.75,40.59,92.99
14,3,19.6,74.01,169.55
14,4,14.91,56.28,128.94
14,5,11.71,44.2,101.27
14,6,10.03,37.87,86.77
14,7,10.84,40.94,93.8
14,8,9.82,37.06,84.9
14,9,9.46,35.7,81.79
14,10,12.95,48.9,112.03
14,11,14.67,55.39,126.91
14,12,11.04,41.66,95.45
14,13,11.32,42.74,97.92
14,14,10.97,41.4,94.85
14,15,11.82,44.62,102.22
14,16,9.24,34.87,79.9
14,17,7.22,27.26,62.45
14,24,10.18,38.42,88.02
14,25,10.69,40.35,92.43
15,14,9.5,35.87,82.17
